atom_diff,reaction_class,delta_mass,count
<6H+8C+3O>,Redox reaction,150.03169405209002,11
<4H+4C+2O>,Hydrolysis,84.02112936806,11
<-H+O>,Redox reaction,14.98708958734,11
<-O+S>,Redox reaction,15.97715655483,11
<4H+C>,Redox reaction,16.03130012892,11
<18H+11C+9O>,Hydrolysis,294.09508215627,11
<3H+C+N-O>,Hydrolysis,13.031634481549997,11
<9H+6C+2O-P>,Transfer reaction,82.08649253079,11
<6H+8C+2O>,Transfer reaction,134.03677943252,11
<26H+14C+O>,Transfer reaction,210.19836545755,11
<17H+11C+N+8O>,Transfer reaction,291.09541650890003,11
<15H+10C+3N+6O+S>,Redox reaction,305.06815638856,11
<34H+18C+O>,Transfer reaction,266.26096571539,11
<34H+20C+7N+14O+3P+S>,Redox reaction,721.1097309704699,11
<5H+3C+N+2O+S>,Redox reaction,119.00409957912,11
<H+N>,Redox reaction,15.01089903666,11
<3O>,Redox reaction,47.98474385871,10
<-H+Br>,Redox reaction,77.91051256777,10
<22H+12C+O>,Transfer reaction,182.16706532863,10
<18H+10C+O>,Transfer reaction,154.13576519971002,10
<4H+7C+3O>,Others,136.01604398762998,10
<24H+15C>,Transfer reaction,204.18780077352,10
<8H+5C+3O>,Transfer reaction,116.04734411655,10
<16H+10C+3N+6O+S-Cl>,Transfer reaction,271.10712873879004,10
<5H+C+N-O>,Redox reaction,15.04728454601,10
<9H+9C+N+O>,Transfer reaction,147.06841391407002,10
<-2H+C+O>,Lytic reaction,25.97926455511,10
<7H+4C+N+O>,Hydrolysis,85.05276384961,9
<12H+6C+4N+O>,Hydrolysis,156.10111102405,9
<6H+9C+O>,Transfer reaction,130.04186481295,9
<6H+7C+3O>,Hydrolysis,138.03169405209002,9
<6H+7C+O>,Lytic reaction,106.04186481295,9
<32H+20C>,Transfer reaction,272.25040103136,9
<10H+7C+O>,Transfer reaction,110.07316494187,9
<H+C+N>,Lytic reaction,27.01089903666,9
<-H+N+2O>,Others,44.98507821134,9
<8H+6C+5O>,Hydrolysis,160.03717335569002,9
<-4H-10C+5O+2P>,Others,17.89079696577,9
<H-O+Cl>,Redox reaction,19.98176309466,9
<8H+4C>,Others,56.06260025784,9
<10H+6C+2O>,Others,114.06807956144,9
<28H+16C+O>,Transfer reaction,236.21401552201,9
<9H+9C+N+2O>,Others,163.06332853364,8
<166H+86C+3O>,Others,1247.28369920889,8
<8H+9C+O>,Redox reaction,132.05751487741,8
<2H+4O+S>,Others,97.96737971714,8
<16H+10C+O>,Ligation reaction,152.12011513525002,8
<-2H-C+O>,Others,1.9792645551099997,8
<17H+7C+3N-O>,Hydrolysis,127.14733294163,8
<6H+5C+3O>,Transfer reaction,114.03169405209,8
<6H+8C+O>,Transfer reaction,118.04186481295,8
<-2H+C>,Redox reaction,9.98434993554,8
<3H+C+N+O>,Others,45.02146372069,8
<4H+O>,Others,20.02621474849,8
<2H+2C+3O>,Lytic reaction,74.00039392317001,8
<14H+8C+O>,Transfer reaction,126.10446507079,8
<6H+5C+4O>,Redox reaction,130.02660867166,8
<6H+7C>,Redox reaction,90.04695019338,8
<32H+21C+7N+16O+3P+S>,Redox reaction,763.0839101451498,8
<10H+5C+2N+O>,Hydrolysis,114.07931295073,8
<O+S>,Redox reaction,47.96698579397,8
<14H+10C>,Others,134.10955045122,8
<3H+5C+5N-O>,Hydrolysis,117.04393049927,8
<S>,Redox reaction,31.9720711744,8
<6H+2C+N+3O+P>,Transfer reaction,123.00853005494,8
<30H+18C+O>,Hydrolysis,262.22966558647,8
<H+N+O>,Redox reaction,31.00581365623,7
<24H+14C+O>,Others,208.18271539309,7
<10H+5C+O>,Redox reaction,86.07316494186999,7
<2H+2O+S>,Redox reaction,65.977550478,7
<6H+4C+3O>,Transfer reaction,102.03169405209,7
<9H+5C+N+3O>,Transfer reaction,131.05824315321,7
<5H+4C+N+O>,Others,83.03711378515,7
<30H+18C+15O>,Hydrolysis,486.15847026045,7
<14H+8C+N+8O+P>,Transfer reaction,283.04570341063,7
<38H+23C+7N+17O+3P+S>,Lytic reaction,809.1257749580999,7
<6H+6C+3O>,Transfer reaction,126.03169405209,7
<3H+6C+N+2O>,Hydrolysis,121.01637834026002,7
<6H+4C+2N+2O>,Transfer reaction,114.04292744138,6
<6H+3C+3O>,Lytic reaction,90.03169405209,6
<6H+5C+O>,Transfer reaction,82.04186481295,6
<6H+8C>,Others,102.04695019338,6
<19H+11C+4N+5O+2P+S>,Redox reaction,381.05513989918,6
<38H+24C+3O>,Hydrolysis,374.28209508345,6
<9H+8C+N+O>,Lytic reaction,135.06841391407002,6
<30H+22C+O>,Transfer reaction,310.22966558647,6
<8H+5C+2N+2O>,Others,128.05857750584,6
<2H+C+S>,Others,45.98772123886,6
<9H+5C+N+O+S>,Redox reaction,131.04048508847,6
<2H+6C+O+2Br>,Others,247.84723988403,6
<3H+C+N>,Redox reaction,29.02654910112,6
<3H+O>,Redox reaction,19.01838971626,6
<2H+3C+O>,Others,54.01056468403,6
<12H+9C+2N+11O+2P>,Hydrolysis,385.9916332077301,6
<-5H-3C+O+P>,Others,5.929551456840002,6
<12H+7C+4O>,Transfer reaction,160.07355886504,6
<48H+30C>,Transfer reaction,408.37560154704,6
<4H+3C>,Redox reaction,40.03130012892,6
<-2H-7C+4O+2P>,Transfer reaction,39.91153241066,6
<5H+2C+N+2O>,Lytic reaction,75.03202840472,6
<2C+3O>,Transfer reaction,71.98474385871,6
<-3H+N>,Others,10.97959890774,6
<56H+35C>,Transfer reaction,476.43820180488,6
<7H+4C+N+O+S>,Lytic reaction,117.02483502401,6
<16H+12C+2O>,Transfer reaction,192.11502975482,6
<14H+9C+O>,Others,138.10446507079,6
<2H+2C-O>,Others,10.02073544489,5
<2H+4O+2S>,Others,129.93945089154,5
<2H+5C+5N-4O-P>,Transfer reaction,37.07759960991,5
<11H+5C+7O+P>,Others,214.02423968994,5
<22H+12C+2O>,Others,198.1619799482,5
<11H+5C+13O+3P>,Transfer reaction,371.9412514042,5
<11H+6C+N+2O>,Transfer reaction,129.0789785981,5
<2H-O+S>,Others,17.99280661929,5
<20H+13C+O>,Others,192.15141526417,5
<5H+2C+N-O>,Hydrolysis,27.04728454601,5
<31H+19C+6N+14O+3P+S>,Transfer reaction,692.0831818693499,5
<4H+5C+3O>,Ligation reaction,112.01604398763,5
<11H+8C+N+6O>,Transfer reaction,217.05863707638,5
<11H+7C+N+4O>,Others,173.06880783724,5
<58H+30C+2O>,Others,450.44368110848,5
<4H+C+O>,Others,32.026214748490005,5
